Social,Strain specific,Gamma,Mean time,Standard deviation
True,False,0.0,438.39,14.533337538225691
True,False,0.5,452.2,21.78807013023411
True,False,1.0,579.98,46.48870400430626
True,False,1.5,664.17,47.94789984973273
True,False,2.0,697.78,61.15694236961164
True,False,2.5,768.98,77.44158831015801
True,False,3.0,844.1,70.65741291612649
False,False,0.0,422.26,10.558049062208417
False,False,0.5,439.39,24.571892479009428
False,False,1.0,621.23,86.57861803008869
False,False,1.5,1055.76,167.4185246619979
False,False,2.0,1561.57,220.98765825267256
False,False,2.5,2119.34,325.8464736651297
False,False,3.0,2394.35,342.5820303226659
